,Timestamp,IndoorTemperature,OutdoorTemperature,EnergyConsumption,EnergyConsumptionBySA
0,2014-03-28T09:00:00+00:00,18.0,15.0,198933.26461847263,32.62121739130434
1,2014-03-28T11:00:00+00:00,18.0,19.0,194664.2046126855,31.92117391304348
2,2014-03-30T18:00:00+00:00,18.0,20.0,27303.848287432404,4.477304347826088
3,2014-04-01T00:00:00+00:00,18.0,16.0,25546.483544971845,4.189130434782608
4,2014-04-01T15:00:00+00:00,18.0,22.0,193543.18196164092,31.737347826086946
5,2014-04-04T03:00:00+00:00,18.0,15.0,27500.849193233265,4.509608695652173
6,2014-04-05T15:00:00+00:00,18.0,21.0,42221.82805052836,6.923565217391304
7,2014-04-07T10:00:00+00:00,18.0,21.0,193528.8642645841,31.734999999999996
8,2014-04-08T07:00:00+00:00,18.0,18.0,174438.33637956574,28.60452173913043
9,2014-04-09T05:00:00+00:00,18.0,19.0,41687.30069373892,6.8359130434782625
10,2014-04-10T19:00:00+00:00,18.0,20.0,103350.1750646406,16.947434782608692
11,2014-04-12T01:00:00+00:00,18.0,17.0,35312.478650440964,5.790565217391306
12,2014-04-14T05:00:00+00:00,18.0,17.0,47098.32961107972,7.723217391304349
13,2014-04-14T13:00:00+00:00,18.0,21.0,221754.3480144173,36.363434782608685
14,2014-04-14T20:00:00+00:00,18.0,19.0,58303.25327076327,9.560608695652174
15,2014-04-15T23:00:00+00:00,18.0,19.0,24510.83679119229,4.019304347826086
16,2014-04-16T04:00:00+00:00,18.0,19.0,28172.72038475334,4.619782608695652
17,2014-04-16T08:00:00+00:00,18.0,19.0,197563.2731241616,32.396565217391306
18,2014-04-17T22:00:00+00:00,18.0,20.0,41659.725869777554,6.831391304347826
19,2014-04-18T10:00:00+00:00,18.0,21.0,41215.87726101489,6.758608695652174
20,2014-04-28T08:00:00+00:00,18.0,15.0,232927.7197120682,38.19565217391305
21,2014-04-28T23:00:00+00:00,18.0,13.0,42211.22234900476,6.921826086956521
22,2014-04-29T05:00:00+00:00,18.0,14.0,58520.13986692089,9.596173913043478
23,2014-04-29T17:00:00+00:00,18.0,17.0,154089.97229384846,25.267782608695658
24,2014-05-01T04:00:00+00:00,18.0,9.0,53501.78704849139,8.773260869565217
25,2014-05-01T19:00:00+00:00,18.0,14.0,160791.7150866114,26.366739130434787
26,2014-05-01T23:00:00+00:00,18.0,12.0,134674.64479966986,22.084043478260874
27,2014-05-02T13:00:00+00:00,18.0,17.0,162466.62049972592,26.641391304347827
28,2014-05-04T01:00:00+00:00,18.0,12.0,95975.50051020524,15.738130434782606
29,2014-05-04T08:00:00+00:00,18.0,11.0,93705.08495654057,15.365826086956524
30,2014-05-04T16:00:00+00:00,18.0,19.0,90326.9038787358,14.811869565217389
31,2014-05-04T19:00:00+00:00,18.0,16.0,35205.891350128775,5.773086956521739
32,2014-05-08T01:00:00+00:00,18.0,14.0,41957.48094005263,6.880217391304348
33,2014-05-08T17:00:00+00:00,18.0,18.0,168234.00098825968,27.58713043478261
34,2014-05-08T23:00:00+00:00,18.0,14.0,41029.747199275705,6.728086956521739
35,2014-05-09T22:00:00+00:00,18.0,14.0,30284.05041556404,4.966
36,2014-05-11T23:00:00+00:00,18.0,12.0,38296.12763156777,6.279826086956522
37,2014-05-13T05:00:00+00:00,18.0,13.0,46528.53829672429,7.629782608695653
38,2014-05-13T07:00:00+00:00,18.0,12.0,199432.26287515805,32.70304347826087
39,2014-05-13T20:00:00+00:00,18.0,15.0,82338.159206084,13.501869565217392
40,2014-05-15T02:00:00+00:00,18.0,13.0,40770.702939561765,6.6856086956521725
41,2014-05-17T08:00:00+00:00,18.0,8.0,37554.25880999194,6.158173913043478
42,2014-05-18T02:00:00+00:00,18.0,11.0,36531.86918311688,5.990521739130434
43,2014-05-20T05:00:00+00:00,18.0,11.0,42075.20422696459,6.899521739130435
44,2014-05-20T07:00:00+00:00,18.0,9.0,194220.6211464609,31.84843478260869
45,2014-05-20T17:00:00+00:00,18.0,16.0,128225.31770316858,21.026478260869567
46,2014-05-21T19:00:00+00:00,18.0,17.0,115731.00588075336,18.977652173913047
47,2014-05-21T22:00:00+00:00,18.0,16.0,39035.61017030079,6.401086956521739
48,2014-05-22T14:00:00+00:00,18.0,16.0,189250.25912742573,31.033391304347827
49,2014-05-23T01:00:00+00:00,18.0,15.0,46458.01038159235,7.618217391304348
50,2014-05-23T05:00:00+00:00,18.0,14.0,46751.52317125799,7.666347826086958
51,2014-05-26T22:00:00+00:00,18.0,9.0,48369.68808122128,7.9316956521739135
52,2014-05-27T01:00:00+00:00,18.0,7.0,59382.91368586576,9.737652173913043
53,2014-05-28T22:00:00+00:00,18.0,6.0,36628.91135205783,6.006434782608697
54,2014-05-29T04:00:00+00:00,18.0,8.0,40980.16554465288,6.719956521739132
55,2014-05-29T14:00:00+00:00,18.0,15.0,194741.0959487316,31.93378260869565
56,2014-05-30T20:00:00+00:00,18.0,12.0,107375.30393538496,17.607478260869566
57,2014-06-01T01:00:00+00:00,18.0,9.0,56901.9749569576,9.330826086956522
58,2014-06-03T19:00:00+00:00,18.0,13.0,132045.75653450744,21.65295652173913
59,2014-06-06T05:00:00+00:00,18.0,9.0,50227.806988156015,8.236391304347825
60,2014-06-06T10:00:00+00:00,18.0,11.0,203213.19546832147,33.323043478260864
61,2014-06-15T23:00:00+00:00,18.0,10.0,77173.18256409072,12.654913043478258
62,2014-06-16T05:00:00+00:00,18.0,11.0,137524.6619415993,22.55139130434783
63,2014-06-16T13:00:00+00:00,18.0,16.0,210125.726578866,34.4565652173913
64,2014-06-18T10:00:00+00:00,18.0,14.0,213955.97568411412,35.084652173913035
65,2014-06-18T19:00:00+00:00,18.0,13.0,134748.61956779697,22.096173913043483
66,2014-06-20T08:00:00+00:00,18.0,13.0,262001.9247263276,42.963260869565225
67,2014-06-20T20:00:00+00:00,18.0,13.0,65044.23715916352,10.666
68,2014-06-21T05:00:00+00:00,18.0,11.0,55186.76787805336,9.049565217391304
69,2014-06-23T02:00:00+00:00,18.0,8.0,58916.52796136544,9.661173913043479
70,2014-06-24T08:00:00+00:00,18.0,12.0,230095.9974052669,37.731304347826075
71,2014-06-27T01:00:00+00:00,18.0,14.0,65210.48153054595,10.693260869565217
72,2014-06-28T13:00:00+00:00,18.0,14.0,37553.19823983958,6.158
73,2014-06-29T01:00:00+00:00,18.0,13.0,56962.9577407183,9.340826086956524
74,2014-07-01T16:00:00+00:00,18.0,11.0,177973.21669738172,29.184173913043484
75,2014-07-02T10:00:00+00:00,18.0,12.0,243708.41531080773,39.96347826086956
76,2014-07-03T07:00:00+00:00,18.0,9.0,250775.52452105872,41.12234782608696
77,2014-07-03T20:00:00+00:00,18.0,9.0,111607.77427091567,18.301521739130433
78,2014-07-03T22:00:00+00:00,18.0,8.0,46611.79305368455,7.643434782608695
79,2014-07-04T08:00:00+00:00,18.0,8.0,253819.62600087005,41.621521739130436
80,2014-07-06T08:00:00+00:00,18.0,10.0,53302.399859847705,8.740565217391305
81,2014-07-06T11:00:00+00:00,18.0,14.0,40011.06956793391,6.56104347826087
82,2014-07-06T17:00:00+00:00,18.0,14.0,42608.40587106359,6.98695652173913
83,2014-07-06T23:00:00+00:00,18.0,12.0,44284.90213940668,7.261869565217391
84,2014-07-07T10:00:00+00:00,18.0,12.0,216471.38294297407,35.49713043478261
85,2014-07-09T20:00:00+00:00,18.0,14.0,63884.23855501974,10.475782608695651
86,2014-07-11T17:00:00+00:00,18.0,13.0,110542.69669540814,18.12686956521739
87,2014-07-15T04:00:00+00:00,18.0,8.0,67248.10193576763,11.027391304347827
88,2014-07-16T08:00:00+00:00,18.0,4.0,220481.13354650923,36.15465217391305
89,2014-07-16T22:00:00+00:00,18.0,8.0,44439.48023911315,7.287217391304348
90,2014-07-19T23:00:00+00:00,18.0,11.0,41578.59225312201,6.818086956521739
91,2014-07-20T20:00:00+00:00,18.0,11.0,40576.08831660371,6.653695652173913
92,2014-07-21T17:00:00+00:00,18.0,10.0,152224.95968092335,24.96195652173913
93,2014-07-21T19:00:00+00:00,18.0,11.0,115421.3193962642,18.926869565217388
94,2014-07-21T22:00:00+00:00,18.0,10.0,49155.83570665814,8.060608695652174
95,2014-07-23T16:00:00+00:00,18.0,13.0,149468.27271240158,24.50991304347826
96,2014-07-24T01:00:00+00:00,18.0,6.0,51525.14942703041,8.449130434782608
97,2014-07-24T10:00:00+00:00,18.0,11.0,213962.3391050284,35.085695652173925
98,2014-07-24T11:00:00+00:00,18.0,13.0,188107.2296457197,30.845956521739126
99,2014-07-24T20:00:00+00:00,18.0,10.0,78585.3317219581,12.886478260869564
100,2014-08-02T02:00:00+00:00,18.0,16.0,37089.46394072016,6.08195652173913
101,2014-08-03T01:00:00+00:00,18.0,16.0,40068.60549869944,6.5704782608695655
102,2014-08-03T08:00:00+00:00,18.0,14.0,45449.14302415989,7.452782608695652
